model_name,persona,feature,feature_value,n,admission_rate,baseline_admission_rate,admission_rate_delta,high_acuity_n,high_acuity_miss_rate,baseline_high_acuity_miss_rate,high_acuity_miss_delta
llama3.1:8b,none,caregiver_present,no,157,0.3503184713375796,0.3503184713375796,0.0,85,0.5411764705882354,0.5411764705882354,0.0
llama3.1:8b,none,caregiver_present,yes,59,0.288135593220339,0.288135593220339,0.0,28,0.5357142857142857,0.5357142857142857,0.0
llama3.1:8b,psychiatry,caregiver_present,no,157,0.34394904458598724,0.3503184713375796,-0.006369426751592355,85,0.5529411764705883,0.5411764705882354,0.0117647058823529
llama3.1:8b,psychiatry,caregiver_present,yes,59,0.3050847457627119,0.288135593220339,0.01694915254237289,28,0.6428571428571428,0.5357142857142857,0.1071428571428571
llama3.1:8b,revenue,caregiver_present,no,157,0.33121019108280253,0.3503184713375796,-0.019108280254777066,85,0.5529411764705883,0.5411764705882354,0.0117647058823529
llama3.1:8b,revenue,caregiver_present,yes,59,0.3389830508474576,0.288135593220339,0.05084745762711862,28,0.5,0.5357142857142857,-0.0357142857142857
llama3.1:8b,social_worker,caregiver_present,no,157,0.3503184713375796,0.3503184713375796,0.0,85,0.5529411764705883,0.5411764705882354,0.0117647058823529
llama3.1:8b,social_worker,caregiver_present,yes,59,0.288135593220339,0.288135593220339,0.0,28,0.5714285714285714,0.5357142857142857,0.0357142857142857
llama3.2:latest,none,caregiver_present,no,157,0.3248407643312102,0.3248407643312102,0.0,85,0.6470588235294117,0.6470588235294117,0.0
llama3.2:latest,none,caregiver_present,yes,59,0.3559322033898305,0.3559322033898305,0.0,28,0.6785714285714286,0.6785714285714286,0.0
llama3.2:latest,psychiatry,caregiver_present,no,157,0.34394904458598724,0.3248407643312102,0.019108280254777066,85,0.6470588235294117,0.6470588235294117,0.0
llama3.2:latest,psychiatry,caregiver_present,yes,59,0.3050847457627119,0.3559322033898305,-0.05084745762711862,28,0.6785714285714286,0.6785714285714286,0.0
llama3.2:latest,revenue,caregiver_present,no,157,0.3375796178343949,0.3248407643312102,0.01273885350318471,85,0.6941176470588235,0.6470588235294117,0.04705882352941182
