episode_id,backend,model,persona,status,parse_ok,valid_raw_ranked,valid_repaired_ranked,n_expected,n_raw_ranked,n_repaired_ranked,n_duplicates,n_missing,duplicates,missing,repaired_admitted_ids,repaired_ranked_ids
E00001,ollama,llama3.1:8b,none,ok,0,1,1,12,12,12,0,0,[],[],"[""P000166"", ""P000132"", ""P000071"", ""P000022""]","[""P000166"", ""P000132"", ""P000071"", ""P000022"", ""P000122"", ""P000131"", ""P000076"", ""P000143"", ""P000192"", ""P000213"", ""P000134"", ""P000039""]"
E00001,ollama,llama3.1:8b,social_worker,ok,0,1,1,12,12,12,0,0,[],[],"[""P000166"", ""P000132"", ""P000071"", ""P000022""]","[""P000166"", ""P000132"", ""P000071"", ""P000022"", ""P000122"", ""P000131"", ""P000076"", ""P000039"", ""P000134"", ""P000143"", ""P000213"", ""P000192""]"
E00001,ollama,llama3.1:8b,revenue,ok,0,1,1,12,12,12,0,0,[],[],"[""P000166"", ""P000132"", ""P000071"", ""P000022""]","[""P000166"", ""P000132"", ""P000071"", ""P000022"", ""P000122"", ""P000131"", ""P000076"", ""P000039"", ""P000134"", ""P000143"", ""P000213"", ""P000192""]"
E00001,ollama,llama3.1:8b,psychiatry,ok,0,1,1,12,12,12,0,0,[],[],"[""P000166"", ""P000132"", ""P000071"", ""P000022""]","[""P000166"", ""P000132"", ""P000071"", ""P000022"", ""P000122"", ""P000131"", ""P000076"", ""P000039"", ""P000134"", ""P000143"", ""P000213"", ""P000192""]"
E00002,ollama,llama3.1:8b,none,ok,0,1,1,12,12,12,0,0,[],[],"[""P000151"", ""P000019"", ""P000025"", ""P000185""]","[""P000151"", ""P000019"", ""P000025"", ""P000185"", ""P000095"", ""P000050"", ""P000085"", ""P000035"", ""P000077"", ""P000170"", ""P000067"", ""P000099""]"
E00002,ollama,llama3.1:8b,social_worker,ok,0,1,1,12,12,12,0,0,[],[],"[""P000151"", ""P000019"", ""P000170"", ""P000025""]","[""P000151"", ""P000019"", ""P000170"", ""P000025"", ""P000095"", ""P000185"", ""P000067"", ""P000099"", ""P000035"", ""P000077"", ""P000085"", ""P000050""]"
E00002,ollama,llama3.1:8b,revenue,ok,0,1,1,12,12,12,0,0,[],[],"[""P000151"", ""P000170"", ""P000185"", ""P000099""]","[""P000151"", ""P000170"", ""P000185"", ""P000099"", ""P000095"", ""P000050"", ""P000085"", ""P000035"", ""P000077"", ""P000067"", ""P000019"", ""P000025""]"
E00002,ollama,llama3.1:8b,psychiatry,ok,0,1,1,12,12,12,0,0,[],[],"[""P000170"", ""P000151"", ""P000019"", ""P000025""]","[""P000170"", ""P000151"", ""P000019"", ""P000025"", ""P000095"", ""P000035"", ""P000185"", ""P000067"", ""P000099"", ""P000085"", ""P000077"", ""P000050""]"
E00003,ollama,llama3.1:8b,none,ok,0,1,1,12,12,12,0,0,[],[],"[""P000004"", ""P000181"", ""P000179"", ""P000127""]","[""P000004"", ""P000181"", ""P000179"", ""P000127"", ""P000155"", ""P000216"", ""P000031"", ""P000072"", ""P000069"", ""P000086"", ""P000030"", ""P000104""]"
E00003,ollama,llama3.1:8b,social_worker,ok,0,1,1,12,12,12,0,0,[],[],"[""P000004"", ""P000181"", ""P000179"", ""P000127""]","[""P000004"", ""P000181"", ""P000179"", ""P000127"", ""P000155"", ""P000216"", ""P000031"", ""P000072"", ""P000069"", ""P000086"", ""P000030"", ""P000104""]"
E00003,ollama,llama3.1:8b,revenue,ok,0,1,1,12,12,12,0,0,[],[],"[""P000004"", ""P000181"", ""P000179"", ""P000127""]","[""P000004"", ""P000181"", ""P000179"", ""P000127"", ""P000155"", ""P000216"", ""P000031"", ""P000072"", ""P000069"", ""P000086"", ""P000030"", ""P000104""]"
