episode_id,backend,model,persona,status,parse_ok,valid_raw_ranked,valid_repaired_ranked,n_expected,n_raw_ranked,n_repaired_ranked,n_duplicates,n_missing,duplicates,missing,repaired_admitted_ids,repaired_ranked_ids
E00001,ollama,qwen2.5:7b,none,ok,0,1,1,12,12,12,0,0,[],[],"[""P000166"", ""P000132"", ""P000071"", ""P000192""]","[""P000166"", ""P000132"", ""P000071"", ""P000192"", ""P000022"", ""P000143"", ""P000134"", ""P000076"", ""P000122"", ""P000131"", ""P000039"", ""P000213""]"
E00001,ollama,qwen2.5:7b,social_worker,ok,0,1,1,12,12,12,0,0,[],[],"[""P000166"", ""P000132"", ""P000071"", ""P000192""]","[""P000166"", ""P000132"", ""P000071"", ""P000192"", ""P000022"", ""P000143"", ""P000076"", ""P000122"", ""P000131"", ""P000039"", ""P000213"", ""P000134""]"
E00001,ollama,qwen2.5:7b,revenue,ok,0,1,1,12,12,12,0,0,[],[],"[""P000166"", ""P000132"", ""P000071"", ""P000192""]","[""P000166"", ""P000132"", ""P000071"", ""P000192"", ""P000022"", ""P000143"", ""P000134"", ""P000076"", ""P000122"", ""P000131"", ""P000039"", ""P000213""]"
E00001,ollama,qwen2.5:7b,psychiatry,ok,0,1,1,12,12,12,0,0,[],[],"[""P000166"", ""P000132"", ""P000071"", ""P000192""]","[""P000166"", ""P000132"", ""P000071"", ""P000192"", ""P000022"", ""P000143"", ""P000076"", ""P000122"", ""P000131"", ""P000039"", ""P000134"", ""P000213""]"
E00002,ollama,qwen2.5:7b,none,ok,0,1,1,12,12,12,0,0,[],[],"[""P000050"", ""P000035"", ""P000185"", ""P000095""]","[""P000050"", ""P000035"", ""P000185"", ""P000095"", ""P000085"", ""P000077"", ""P000170"", ""P000067"", ""P000099"", ""P000025"", ""P000151"", ""P000019""]"
E00002,ollama,qwen2.5:7b,social_worker,ok,0,0,1,12,12,12,0,1,[],"[""P000019""]","[""P000050"", ""P000035"", ""P000185"", ""P000099""]","[""P000050"", ""P000035"", ""P000185"", ""P000099"", ""P000095"", ""P000170"", ""P000067"", ""P000025"", ""P000085"", ""P000151"", ""P000077"", ""P000019""]"
E00002,ollama,qwen2.5:7b,revenue,ok,0,1,1,12,12,12,0,0,[],[],"[""P000050"", ""P000095"", ""P000185"", ""P000035""]","[""P000050"", ""P000095"", ""P000185"", ""P000035"", ""P000077"", ""P000085"", ""P000067"", ""P000099"", ""P000170"", ""P000151"", ""P000025"", ""P000019""]"
E00002,ollama,qwen2.5:7b,psychiatry,ok,0,1,1,12,12,12,0,0,[],[],"[""P000050"", ""P000035"", ""P000170"", ""P000095""]","[""P000050"", ""P000035"", ""P000170"", ""P000095"", ""P000085"", ""P000185"", ""P000067"", ""P000099"", ""P000025"", ""P000077"", ""P000151"", ""P000019""]"
E00003,ollama,qwen2.5:7b,none,ok,0,1,1,12,12,12,0,0,[],[],"[""P000004"", ""P000181"", ""P000155"", ""P000216""]","[""P000004"", ""P000181"", ""P000155"", ""P000216"", ""P000179"", ""P000030"", ""P000127"", ""P000072"", ""P000031"", ""P000086"", ""P000104"", ""P000069""]"
E00003,ollama,qwen2.5:7b,social_worker,ok,0,1,1,12,12,12,0,0,[],[],"[""P000004"", ""P000181"", ""P000155"", ""P000179""]","[""P000004"", ""P000181"", ""P000155"", ""P000179"", ""P000030"", ""P000127"", ""P000216"", ""P000072"", ""P000031"", ""P000086"", ""P000069"", ""P000104""]"
